year,month,state,unemployment_rate,total_labor_force,employed,unemployed,industry_focus,source
2021,10,TX,5.5,14620000,13815900,804100,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2022,1,TX,4.1,14740000,14135660,604340,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2022,4,TX,3.9,14740000,14165140,574860,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2022,7,TX,3.8,14740000,14179880,560120,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2022,10,TX,3.7,14740000,14194620,545380,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2015,1,FL,5.7,10300000,9712900,587100,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2015,4,FL,5.5,10300000,9733500,566500,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2015,7,FL,5.4,10300000,9743800,556200,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2015,10,FL,5.3,10300000,9754100,545900,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2016,1,FL,5.1,10420000,9888580,531420,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2016,4,FL,4.9,10420000,9909420,510580,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2016,7,FL,4.8,10420000,9919840,500160,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2016,10,FL,4.7,10420000,9930260,489740,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2017,1,FL,4.5,10540000,10065700,474300,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2017,4,FL,4.3,10540000,10086780,453220,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2017,7,FL,4.2,10540000,10097320,442680,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2017,10,FL,4.1,10540000,10107860,432140,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2018,1,FL,3.8,10660000,10254920,405080,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2018,4,FL,3.6,10660000,10276240,383760,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2018,7,FL,3.5,10660000,10286900,373100,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2018,10,FL,3.4,10660000,10297560,362440,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2019,1,FL,3.5,10780000,10402700,377300,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2019,4,FL,3.3,10780000,10424260,355740,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2019,7,FL,3.2,10780000,10435040,344960,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2019,10,FL,3.1,10780000,10445820,334180,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2020,1,FL,8.4,10900000,9984400,915600,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2020,4,FL,8.2,10900000,10006200,893800,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2020,7,FL,8.1,10900000,10017100,882900,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2020,10,FL,8.0,10900000,10028000,872000,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2021,1,FL,4.8,11020000,10491040,528960,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2021,4,FL,4.6,11020000,10513080,506920,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2021,7,FL,4.5,11020000,10524100,495900,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2021,10,FL,4.4,11020000,10535120,484880,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2022,1,FL,3.1,11140000,10794660,345340,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2022,4,FL,2.9,11140000,10816940,323060,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2022,7,FL,2.8,11140000,10828080,311920,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
2022,10,FL,2.7,11140000,10839220,300780,tourism and construction,SYNTHETIC SAMPLE (not official BLS data)
